arm,seed,acc,train_loss,tl_min,tl_final,tl_min_epoch,spikes,max_jump,overfit
ftbclip5,s0,76.98000263183594,2.2878398622314515,1.0781707374209708,1.2439349209043113,144,0,0.06218456853037857,0.16576418348334054
ftbclip5,s1,78.02600249511718,2.2012924335729807,1.0411561279360093,1.205414981214386,154,0,0.014435422487365734,0.16425885327837664
ftbclip5,s2,77.77200247558594,2.186731549887321,1.0607266787326697,1.2236451514516815,154,0,0.011901674028008458,0.16291847271901183
ftb2i,s0,80.2440025390625,2.595353687850711,0.9428295193973816,0.9435301751575687,284,5,1.3797655309048986,0.0007006557601870744
ftb4i,s0,79.90600229492188,2.615863278042525,0.9531906934624369,0.9531906934624369,299,3,2.7914557355241127,0.0
ftb5i,s0,79.6700026171875,2.595886824282412,0.9733693124444196,0.9779292324727232,254,5,2.3997196663553138,0.004559920028303632
ftb6i,s0,79.66400235351563,2.559983952281376,0.9673031586589236,0.9732732528989966,264,3,1.0443512595330287,0.005970094240072998
ftb9i,s0,79.48800250976562,2.3617043245631533,0.9906570121194377,1.0441303071424817,179,0,0.04697216204248189,0.05347329502304399
ftb10i,s0,79.11000286132813,2.322826928088967,0.9841755729055766,1.0686482362674945,164,0,0.0105080573150933,0.08447266336191794
ftb1h,s0,78.5500023046875,2.2137902336410034,1.019571016457948,1.1690969714386896,164,0,0.010592515377375378,0.14952595498074173
ftb2h,s0,78.65400249023438,2.3166164831043434,1.0398983298377558,1.1359633857553655,174,0,0.01602969029679535,0.09606505591760972
ftb3h,s0,78.88800252441406,2.2996793431110487,1.0430094653909856,1.121245075242989,169,0,0.014583721542014594,0.0782356098520034
ftb4h,s0,79.68800243164063,2.3183347748425334,1.0112472471188416,1.0654436189568404,149,0,0.011369087339307082,0.05419637183799875
ftb5h,s0,78.84200249511719,2.3282008573341253,1.043025868634383,1.1342288928501534,164,0,0.01036150929016566,0.09120302421577042
ftb6h,s0,78.71800263183594,2.336875526712109,1.0421316570630579,1.1284173267583053,164,0,0.03241791573759123,0.08628566969524742
ftb7h,s0,79.66600251953125,2.331688537847442,0.9997330015581666,1.0723717965637192,164,0,0.02175780641249414,0.07263879500555259
ftb8h,s0,79.11000247070312,2.250115524989386,0.994833315525091,1.1168622478391186,179,0,0.04810236401569412,0.12202893231402756
ftb9h,s0,78.82200260742188,2.246626372795361,1.0113316215574741,1.1342900916934013,174,0,0.011082842659491998,0.1229584701359272
ftb10h,s0,78.6780026171875,2.2439310547346487,1.0151432229939736,1.1371344923973083,164,0,0.008446423253283264,0.12199126940333471
ftb11h,s0,79.85000254882813,2.3221397418289995,0.9856035333465446,1.0317876797282335,214,0,0.011328537088747037,0.046184146381688884
ftb0h,s0,80.09000260742188,2.5937834446294565,0.9637150843486642,0.9673054400041248,254,0,0.013780311108208654,0.0035903556554606197
